X,track_title,track_n,line,lyric
1,The Beginning of the End,1,1,Have you ever woken up and wondered
2,The Beginning of the End,1,2,Where you are and why you're naked?
3,The Beginning of the End,1,3,You are now listening to Headache
4,The Beginning of the End,1,4,I used to take my breakfast off of a mirror
5,The Beginning of the End,1,5,Now I just walk around and stare at people in the park
6,The Beginning of the End,1,6,You think I care about what's happening to me?
7,The Beginning of the End,1,7,Even my demons have demons
8,The Beginning of the End,1,8,"When I last saw Monica, she told me"
9,The Beginning of the End,1,9,She never wanted to see or speak to me ever again in her life
10,The Beginning of the End,1,10,"She doesn't get it, nobody gets it"
11,The Beginning of the End,1,11,I can't remember the last time I got a good night's sleep
12,The Beginning of the End,1,12,"If you really think about it, life shouldn't feel this strange"
13,The Beginning of the End,1,13,If I could just figure out what the old woman wearing
14,The Beginning of the End,1,14,That salmon pink snakeskin jacket wants from me
15,The Beginning of the End,1,15,I'd feel a whole lot better
16,The Beginning of the End,1,16,Doesn't she have a job?
17,The Beginning of the End,1,17,Do I have a job?
18,The Beginning of the End,1,18,It's not normal to sit outside someone's apartment the whole night long
19,The Beginning of the End,1,19,"But then again, what is normal?"
20,The Beginning of the End,1,20,Do you think I'm normal?
21,The Beginning of the End,1,21,Say I'm normal
22,The Beginning of the End,1,22,"Please, for fuck's sake, please say I'm normal"
23,The Beginning of the End,1,23,I don't know what you want from me
24,The Beginning of the End,1,24,I could never do that contemplation shit
25,The Beginning of the End,1,25,Someone told me once that if you have more than three major concussions
26,The Beginning of the End,1,26,"Before the age of seven, you're fucked, I had eight"
27,The Beginning of the End,1,27,"And anyway, I'm not interested in knowing"
28,The Beginning of the End,1,28,"I'm just tired, so tired"
29,The Beginning of the End,1,29,Something went wrong
30,The Beginning of the End,1,30,Something went really wrong a long way back
31,The Beginning of the End,1,31,"And now I don't know, now I'm just doing this"
32,The Beginning of the End,1,32,"One morning you wake up, and you want to shave your head"
33,The Beginning of the End,1,33,Because the insects living up there
34,The Beginning of the End,1,34,Have started to throw parties they aren't inviting you to
35,The Beginning of the End,1,35,And you tell me I'm crazy?
36,The Beginning of the End,1,36,"I just want to live, I just want to feel something"
37,The Beginning of the End,1,37,"Anything, anything"
38,The Beginning of the End,1,38,There's so much in the world
39,The Beginning of the End,1,39,"There's good, bad, mad, sad, ugly, happy"
40,The Beginning of the End,1,40,But I just love beauty
41,The Beginning of the End,1,41,"I think about my friends sometimes, their lives, their failures"
42,The Beginning of the End,1,42,"They don't know where I am, I wonder if they miss me"
43,The Beginning of the End,1,43,"I miss their stories, the stuff they leave unfinished"
44,The Beginning of the End,1,44,"The words they leave behind, the good they drag after them"
45,The Beginning of the End,1,45,And the destruction they create
46,The Beginning of the End,1,46,"But above all, above All"
47,The Beginning of the End,1,47,I remember the love
48,The Beginning of the End,1,48,I remember sitting on my uncle Mario's knee
49,The Beginning of the End,1,49,While he told me about the man he killed in the Embarcadero in August 1999
50,The Beginning of the End,1,50,I remember the girl with pigtails in her hair asking me
51,The Beginning of the End,1,51,Why I looked so sad when I was supposed to be feeling happy
52,The Beginning of the End,1,52,I remember climbing on a statue in my grandmother's garden
53,The Beginning of the End,1,53,While serious guys in suits walked around talking to each other
54,The Beginning of the End,1,54,There was a lot of blood around back then
55,The Beginning of the End,1,55,"A lot of laughter, but a lot of blood too"
56,The Beginning of the End,1,56,And I mistook laughter for love
57,The Beginning of the End,1,57,I forgot the colour where I came from
58,The Beginning of the End,1,58,Now my taste is me
59,The Beginning of the End,1,59,And sometimes it's a little too sour
60,The Beginning of the End,1,60,The streets are so dead
61,The Beginning of the End,1,61,How is it so easy to leave this world behind?
62,The Beginning of the End,1,62,It feels like the world's a dream
63,The Beginning of the End,1,63,Right up until I remember the smell of her hair blowing in the wind
64,The Beginning of the End,1,64,You aimed for my eyes
65,The Beginning of the End,1,65,But you forgot that the heart is where all the action is
66,The Beginning of the End,1,66,This one goes out to all the ghosts
67,The Beginning of the End,1,67,I love you
68,That Thing with the Rabbit,2,1,Make some noise right now for the voices in your head
69,That Thing with the Rabbit,2,2,The thing is
70,That Thing with the Rabbit,2,3,I'm not just a nose with legs
71,That Thing with the Rabbit,2,4,But the desire to fall in is so strong
72,That Thing with the Rabbit,2,5,Listen to me
73,That Thing with the Rabbit,2,6,Do you need some lip balm?
74,That Thing with the Rabbit,2,7,I shouldn't be responsible for what I say
75,That Thing with the Rabbit,2,8,Someone else should be responsible for what I say
76,That Thing with the Rabbit,2,9,There will always be baskets and benches
77,That Thing with the Rabbit,2,10,The cow is for land and the horse is for water
78,That Thing with the Rabbit,2,11,But can you really feel the sound of two hundred people eating?
79,That Thing with the Rabbit,2,12,I was in ancient egypt with the rabbit
80,That Thing with the Rabbit,2,13,I saw the whole thing
81,That Thing with the Rabbit,2,14,I exist like cocaine
82,That Thing with the Rabbit,2,15,And I just wish stuff would stop happening so fast
83,That Thing with the Rabbit,2,16,I just want to catch my breath and feel that I exist in a moment
84,That Thing with the Rabbit,2,17,Within a moment
85,That Thing with the Rabbit,2,18,Inside this time right now
86,That Thing with the Rabbit,2,19,But I know life doesn't work like that
87,That Thing with the Rabbit,2,20,Everything is changing all the time
88,That Thing with the Rabbit,2,21,And if I keep eating this delusional garbage
89,That Thing with the Rabbit,2,22,It'll stick to the roof of my mouth
90,That Thing with the Rabbit,2,23,And I'll be walking along the street trying to go to the bank
91,That Thing with the Rabbit,2,24,Or something
92,That Thing with the Rabbit,2,25,And my tongue will be doing bits and my phone will ring
93,That Thing with the Rabbit,2,26,And it's someone calling themselves grandma
94,That Thing with the Rabbit,2,27,Which is weird because all my grandmas are dead
95,That Thing with the Rabbit,2,28,God rest their souls
96,That Thing with the Rabbit,2,29,But she's telling me about the fact she's taken a plane to Algeria
97,That Thing with the Rabbit,2,30,And she doesn't know why and I'm so baffled I walk into a lamp post
98,That Thing with the Rabbit,2,31,And on the other side of the street
99,That Thing with the Rabbit,2,32,Is the most beautiful woman in the world
100,That Thing with the Rabbit,2,33,And she's laughing at me
101,That Thing with the Rabbit,2,34,And everyone is staring at you
102,That Thing with the Rabbit,2,35,But not in a good way
103,That Thing with the Rabbit,2,36,In that scary way that you sometimes get in those dreams
104,That Thing with the Rabbit,2,37,Where everyone is looking at you
105,That Thing with the Rabbit,2,38,And you look down at your feet and you realise they aren't
106,That Thing with the Rabbit,2,39,Strictly speaking
107,That Thing with the Rabbit,2,40,Feet
108,That Thing with the Rabbit,2,41,But what are you supposed to do
109,That Thing with the Rabbit,2,42,"Because, because you just walked into a fucking lamppost"
110,That Thing with the Rabbit,2,43,And now you're rolling around on the floor
111,That Thing with the Rabbit,2,44,And you'll still trying to get the dang words out of your mouth
112,That Thing with the Rabbit,2,45,But they're stuck to your tongue
113,That Thing with the Rabbit,2,46,And the music playing in the car
114,That Thing with the Rabbit,2,47,Which the beautiful woman is getting into
115,That Thing with the Rabbit,2,48,Sounds a lot like an album you used to listen to
116,That Thing with the Rabbit,2,49,When you were younger
117,That Thing with the Rabbit,2,50,That soundtracked some of your first sexual experiences
118,That Thing with the Rabbit,2,51,And the car is maroon
119,That Thing with the Rabbit,2,52,And maybe that's actually exactly the same colour that your car is
120,That Thing with the Rabbit,2,53,And you start to get really freaked out
121,That Thing with the Rabbit,2,54,Because your head has been on the floor for a long time now
122,That Thing with the Rabbit,2,55,And if it starts to get any longer
123,That Thing with the Rabbit,2,56,There may be some major social and medical implications.
124,That Thing with the Rabbit,2,57,And so you start to feel a little bit funny all over
125,That Thing with the Rabbit,2,58,And you try to reach down to touch your toes
126,That Thing with the Rabbit,2,59,But your lips start to tingle
127,That Thing with the Rabbit,2,60,Because they are right there
128,That Thing with the Rabbit,2,61,Resting up against a pile of all your hopes and dreams
129,That Thing with the Rabbit,2,62,And there's the ambulance
130,That Thing with the Rabbit,2,63,And there are some nice concerned looking faces
131,That Thing with the Rabbit,2,64,Ready to take you somewhere
132,That Thing with the Rabbit,2,65,Where stuff will be injected into your central nervous system
133,That Thing with the Rabbit,2,66,Using techniques which seem to revolve
134,That Thing with the Rabbit,2,67,Around getting the ghost of your aunts mother-in-law
135,That Thing with the Rabbit,2,68,To sing lullabies in a language you don't understand
136,That Thing with the Rabbit,2,69,Until you really
137,That Thing with the Rabbit,2,70,Really start to forget who and what you are
138,The Pavement is my Pillow Talk,3,1,Have you ever woken up one day and realised
139,The Pavement is my Pillow Talk,3,2,That everything you thought you knew was wrong?
140,The Pavement is my Pillow Talk,3,3,That every single decision you have ever made
141,The Pavement is my Pillow Talk,3,4,In your entire life
142,The Pavement is my Pillow Talk,3,5,Was also wrong?
143,The Pavement is my Pillow Talk,3,6,Well I have
144,The Pavement is my Pillow Talk,3,7,And it feels really good.
145,The Pavement is my Pillow Talk,3,8,You don't need to sleep in your bed every night
146,The Pavement is my Pillow Talk,3,9,The street is just as comfortable
147,The Pavement is my Pillow Talk,3,10,Life is not all
148,The Pavement is my Pillow Talk,3,11,You know
149,The Pavement is my Pillow Talk,3,12,Funky shit and funny faces that you pull in the mirror.
150,The Pavement is my Pillow Talk,3,13,It's deep
151,The Pavement is my Pillow Talk,3,14,But it's not that deep
152,The Pavement is my Pillow Talk,3,15,The blue skies are for good vibes
153,The Pavement is my Pillow Talk,3,16,The grey skies are for when you want to die
154,The Pavement is my Pillow Talk,3,17,There is nothing darker than the sunlight
155,The Pavement is my Pillow Talk,3,18,When your eyes are closed.
156,The Pavement is my Pillow Talk,3,19,"Trust me, I know,"
157,The Pavement is my Pillow Talk,3,20,"I wear my sunglasses in the shower,"
158,The Pavement is my Pillow Talk,3,21,And I'm starting to feel a whole lot better.
159,The Pavement is my Pillow Talk,3,22,Life gave me love and I made life out of it.
160,The Pavement is my Pillow Talk,3,23,My head hurts but my heart knows the truth.
161,The Pavement is my Pillow Talk,3,24,I've remembered how to laugh again.
162,The Pavement is my Pillow Talk,3,25,I've become irresistible to the people
163,The Pavement is my Pillow Talk,3,26,To whom I want to be irresistible.
164,The Pavement is my Pillow Talk,3,27,I know that love is the only thought and pain is the only feeling.
165,The Pavement is my Pillow Talk,3,28,I know now that everything will work out for us.
166,The Pavement is my Pillow Talk,3,29,We will occupy spaces.
167,The Pavement is my Pillow Talk,3,30,We will make sounds.
168,The Pavement is my Pillow Talk,3,31,We will go absolutely fucking crazy
169,The Pavement is my Pillow Talk,3,32,We will think thoughts that will be thoughts
170,The Pavement is my Pillow Talk,3,33,"We would have never imagined we could think,"
171,The Pavement is my Pillow Talk,3,34,Not in any past that any thought of ours could ever reach
172,The Pavement is my Pillow Talk,3,35,"But thoughts whispering the first glimpse of a future where somebody,"
173,The Pavement is my Pillow Talk,3,36,"Maybe you, maybe not,"
